id,lat,long
11974,28.533555,77.24961
11975,20.429047,80.149403
11976,20.429047,80.149403
11977,20.429047,80.149403
11978,17.385044,78.486671
11979,20.429047,80.149403
11980,13.005644,80.246341
11981,16.689914,80.240588
11982,20.429047,80.149403
11983,20.429047,80.149403
11984,20.429047,80.149403
11985,18.3,83.9
11986,20.429047,80.149403
11987,20.429047,80.149403
11988,20.429047,80.149403
11989,28.635308,77.22496
11990,20.429047,80.149403
11991,12.962226,77.666524
11992,13.060422,80.249583
11993,14.368813,79.722532
11994,20.429047,80.149403
11995,20.429047,80.149403
11996,20.429047,80.149403
11997,19.075984,72.877656
11998,20.429047,80.149403
11999,19.140108,72.803172
12000,13.060422,80.249583
12001,12.906348,77.59955
12002,20.429047,80.149403
12003,20.429047,80.149403
12004,20.429047,80.149403
12005,20.429047,80.149403
12006,23.033279,72.460358
12007,20.429047,80.149403
12008,20.429047,80.149403
12009,20.429047,80.149403
12010,20.429047,80.149403
12011,20.429047,80.149403
12012,20.429047,80.149403
12013,12.843051,77.486329
12014,20.429047,80.149403
12015,20.429047,80.149403
12016,20.429047,80.149403
12017,20.429047,80.149403
12018,20.429047,80.149403
12019,20.429047,80.149403
12020,20.429047,80.149403
12021,20.429047,80.149403
12022,20.429047,80.149403
12023,18.968417,72.84348
12024,28.459497,77.026638
12026,13.056954,80.244678
12027,19.100676,72.848434
12028,12.917038,77.707432
12029,17.385044,78.486671
12030,19.098821,72.832072
12031,13.96978,75.582978
12032,20.429047,80.149403
12033,28.612189,77.280742
12034,28.6707,77.310772
12035,28.63041,77.216085
12036,28.536316,77.221834
12037,13.052634,77.755222
12038,28.54786,77.237641
12039,19.075984,72.877656
12040,28.632824,77.218259
12041,28.582633,77.22007
12042,28.591103,77.228068
12043,28.611507,77.243389
12044,28.574528,77.22399
12045,28.568814,77.220565
12046,28.590806,77.23119
12047,28.687193,77.210336
12048,28.560838,77.272105
12049,28.560838,77.272105
12050,28.634374,77.227582
12051,28.634374,77.227582
12052,28.634374,77.227582
12053,28.560838,77.272105
12054,28.589288,77.246343
12055,28.634374,77.227582
12056,28.634374,77.227582
12057,28.605596,77.294388
12058,28.551637,77.207641
12059,28.563842,77.289717
12060,28.567428,77.239797
12061,28.611507,77.243389
12062,28.563842,77.289717
12063,28.543968,77.205074
12064,28.592132,77.234413
12065,28.56223,77.289725
12066,28.593681,77.221834
12067,28.567428,77.239797
12068,28.536947,77.217163
12069,28.56223,77.289725
12070,28.56223,77.289725
12071,28.56223,77.289725
12072,28.56223,77.289725
12073,28.563842,77.289717
12074,28.503774,77.302287
12075,28.634374,77.227582
12076,28.56223,77.289725
12077,28.664402,77.234939
12078,28.56223,77.289725
12079,19.055124,72.915465
12080,28.571737,77.198478
12081,28.502952,77.181599
12082,28.63041,77.216085
12083,28.574629,77.277869
12084,28.635308,77.22496
12085,28.560905,77.239078
12086,24.543083,84.012946
12087,28.57738,77.314494
12088,28.57271,77.1974
12089,28.635308,77.22496
12090,28.560905,77.239078
12091,28.632824,77.218259
12092,28.553664,77.241905
12093,28.550796,77.253447
12094,28.652444,77.19165
12095,28.55868,77.20818
12096,28.635308,77.22496
12097,28.587883,77.170314
12098,28.550796,77.253447
12099,28.459497,77.026638
12100,28.560905,77.239078
12101,28.560905,77.239078
12102,28.683012,77.207821
12103,28.666152,77.134127
12104,28.635308,77.22496
12105,28.551753,77.23333
12106,28.556841,77.234049
12107,28.564168,77.234227
12108,28.619092,77.248735
12109,28.551753,77.23333
12110,28.632903,77.219678
12111,28.557115,77.236923
12112,28.62733,77.124067
12113,28.536947,77.217163
12114,28.634374,77.227582
12115,28.565301,77.292951
12116,28.563842,77.289717
12117,28.565301,77.292951
12118,28.56223,77.289725
12119,28.620512,77.249927
12120,28.560076,77.290797
12121,28.56223,77.289725
12122,28.563458,77.288642
12123,28.583004,77.252287
12124,28.553534,77.299175
12125,28.634374,77.227582
12126,29.63639,74.304488
12127,28.344995,77.558165
12128,28.688361,77.371495
12129,28.56223,77.289725
12130,28.600717,77.280742
12131,28.565301,77.292951
12132,28.563842,77.289717
12133,28.536947,77.217163
12134,28.56223,77.289725
12135,28.563842,77.289717
12136,28.567428,77.239797
12137,28.642501,77.297978
